datetime,event,source,medium,campaign,content,page
2026-08-31 18:57,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-04 21:42,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-06 01:11,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-07 09:18,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/calendar/
2026-09-07 17:43,ticket_click,instagram,social,jackpotcomedy,,https://inyourfacecomedy.ch/
2026-09-08 21:59,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-09 11:46,ticket_click,instagram,social,filippo-spreafico,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-10 14:06,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-11 12:22,ticket_click,IN YOUR FACE Comedy,email,64026e8943-EMAIL_CAMPAIGN_2026_09_07_04_29,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-11 15:31,ticket_click,instagram,social,calendar,inyourface_profile,https://inyourfacecomedy.ch/calendar/
2026-09-11 15:35,ticket_redirect,instagram,social,filippo-spreafico,,Ticket Redirect
2026-09-11 15:38,ticket_redirect,instagram,social,filippo-spreafico,,Ticket Redirect
2026-09-11 15:40,ticket_redirect,instagram,social,filippo-spreafico,,Ticket Redirect
2026-09-11 15:41,ticket_redirect,instagram,social,filippo-spreafico,,Ticket Redirect
2026-09-11 21:01,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-11 21:04,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-12 05:22,ticket_redirect,instagram,social,filippo-spreafico,,Ticket Redirect
2026-09-12 19:12,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-13 14:19,ticket_click,google,organic,,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-13 15:39,ticket_redirect,instagram,social,filippo-spreafico,,Ticket Redirect
2026-09-13 21:21,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-13 21:23,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-14 02:19,ticket_click,google,organic,,,https://inyourfacecomedy.ch/calendar/
2026-09-15 13:01,ticket_click,IN YOUR FACE Comedy,email,5840cb58dc-EMAIL_CAMPAIGN_2026_09_15_09_11,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-15 13:18,ticket_click,IN YOUR FACE Comedy,email,5840cb58dc-EMAIL_CAMPAIGN_2026_09_15_09_11,,https://inyourfacecomedy.ch/filippo-spreafico/
2026-09-15 18:28,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/calendar/
2026-09-16 00:26,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/filippo-spreafico/
