datetime,event,source,medium,campaign,content,page
2026-08-26 14:13,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-27 12:13,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-29 22:10,ticket_click,guidle,referral,jokesjokesjokes,,https://inyourfacecomedy.ch/jokesjokesjokes/
2026-08-31 13:49,ticket_click,instagram,social,comedybrew,harryf_profile,https://inyourfacecomedy.ch/jokesjokesjokes/
2026-08-31 22:35,ticket_click,guidle,referral,jokesjokesjokes,,https://inyourfacecomedy.ch/jokesjokesjokes/
2026-08-31 22:50,ticket_redirect,meetup,referral,jokesjokesjokes,,Ticket Redirect
2026-09-01 06:26,ticket_click,test,verify,linktest,go-link-dim,https://inyourfacecomedy.ch/
2026-09-01 08:54,ticket_redirect,instagram,social,jokesjokesjokes-20260901,inyourface-story,Ticket Redirect
2026-09-01 10:02,ticket_click,chatgpt.com,ai-assistant,,,https://inyourfacecomedy.ch/
2026-09-01 13:17,ticket_redirect,instagram,social,jokesjokesjokes-20260901,inyourface-story,Ticket Redirect
2026-09-01 15:35,ticket_click,guidle,referral,jokesjokesjokes,,https://inyourfacecomedy.ch/jokesjokesjokes/
2026-09-01 16:41,ticket_click,chatgpt.com,ai-assistant,,,https://inyourfacecomedy.ch/
2026-09-01 20:45,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/
