datetime,event,source,medium,campaign,content,page
2026-08-26 13:24,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 14:12,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-26 15:27,ticket_redirect,instagram,social,jackpotcomedy,,Ticket Redirect
2026-08-29 09:14,ticket_redirect,(direct),(none),,,Ticket Redirect
2026-08-30 11:38,ticket_redirect,meta,paid_social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:38,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:38,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:38,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:38,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:38,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:39,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:41,ticket_redirect,instagram,social,jackpotcomedy,link_in_bio,Ticket Redirect
2026-08-30 11:43,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:43,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:43,ticket_redirect,meta,paid_social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:43,ticket_redirect,meta,paid_social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:43,ticket_redirect,meta,paid_social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:46,ticket_redirect,meta,paid_social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:48,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:48,ticket_redirect,facebook,social,jackpotcomedy,,Ticket Redirect
2026-08-30 11:58,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 12:04,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 12:04,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 12:04,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 12:04,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 13:20,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 19:56,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 20:16,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 21:48,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 22:17,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 22:23,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 22:50,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 23:07,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-30 23:58,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-31 00:47,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-31 03:10,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-08-31 06:47,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
